[-288, 86, -834, -785, -473, 552, 579, -119, 178, 528, 678, -34, 655, -757, 238, 605, -175, -839, -666, 480, 121, 197, 91, -699, -38, 34, 292, 825, 201, -472, -29, 517, 928, -177, -316, -808, 530, -302, -436, 847, -307, -595, -134, 853, 25, -619, -236, -576, 673, -298]
[-839, -834, -808, -785, -757, -699, -666, -619, -595, -576, -473, -472, -436, -316, -307, -302, -298, -288, -236, -177, -175, -134, -119, -38, -34, -29, 25, 34, 86, 91, 121, 178, 197, 201, 238, 292, 480, 517, 528, 530, 552, 579, 605, 655, 673, 678, 825, 847, 853, 928]
[-458, -331, -912, 93, 561, 739, 712, -131, -190, 27, 655, 109, -145, -261, -501, -612, -5, -850, 481, -285, -392, 957, 13, -800, 665, -764, -858, -834, -931, 271, 72, -332, 930, 498, 664, 208, -586, 330, -888, -586, -259, -771, 912, -630, -65, -597, -98, -847, -251, 499]
[-931, -912, -888, -858, -850, -847, -834, -800, -771, -764, -630, -612, -597, -586, -586, -501, -458, -392, -332, -331, -285, -261, -259, -251, -190, -145, -131, -98, -65, -5, 13, 27, 72, 93, 109, 208, 271, 330, 481, 498, 499, 561, 655, 664, 665, 712, 739, 912, 930, 957]
[-90, 911, 135, -850, 274, 449, -222, -230, 581, -89, 783, -233, -420, 793, -455, -22, 222, -193, 968, -563, 179, 426, -895, 747, -239, 928, 133, -73, 633, -355, 978, 977, 591, 590, -381, 40, 886, -111, -767, -202, 164, -206, -231, -22, -126, 891, 332, 309, 223, -901]
[-901, -895, -850, -767, -563, -455, -420, -381, -355, -239, -233, -231, -230, -222, -206, -202, -193, -126, -111, -90, -89, -73, -22, -22, 40, 133, 135, 164, 179, 222, 223, 274, 309, 332, 426, 449, 581, 590, 591, 633, 747, 783, 793, 886, 891, 911, 928, 968, 977, 978]
[736, -137, 269, 498, -612, 356, 524, 980, 763, -189, 309, 383, -385, 427, 368, 200, -508, -881, -381, -882, -953, -6, -572, -508, -759, 211, 705, -301, 784, 403, -17, 59, -676, 342, 960, -285, -749, -698, 688, 270, -498, 342, 428, -109, 510, -584, 893, 578, 819, 908]
[-953, -882, -881, -759, -749, -698, -676, -612, -584, -572, -508, -508, -498, -385, -381, -301, -285, -189, -137, -109, -17, -6, 59, 200, 211, 269, 270, 309, 342, 342, 356, 368, 383, 403, 427, 428, 498, 510, 524, 578, 688, 705, 736, 763, 784, 819, 893, 908, 960, 980]
[229, -334, -397, 448, 794, -107, -68, 231, -202, 848, -15, 773, -807, 997, 250, -96, -880, 263, -88, -210, -465, -137, 66, -744, -422, 437, -281, 49, -406, -459, -988, -353, -498, -898, 972, -158, -795, 106, 107, 947, -213, 544, -443, 351, 253, 485, -607, 864, -974, -649]
[-988, -974, -898, -880, -807, -795, -744, -649, -607, -498, -465, -459, -443, -422, -406, -397, -353, -334, -281, -213, -210, -202, -158, -137, -107, -96, -88, -68, -15, 49, 66, 106, 107, 229, 231, 250, 253, 263, 351, 437, 448, 485, 544, 773, 794, 848, 864, 947, 972, 997]
[-735, 61, 217, -160, -219, 268, 822, -286, -982, -284, -704, 815, 135, 207, -981, 636, 240, 94, -750, -721, 121, -53, 380, 750, -195, 131, 884, -184, -565, 83, -795, 349, -127, 789, -49, 660, -399, 681, 43, 802, 869, -897, -946, -895, -978, -589, -899, -146, -967, 946]
[-982, -981, -978, -967, -946, -899, -897, -895, -795, -750, -735, -721, -704, -589, -565, -399, -286, -284, -219, -195, -184, -160, -146, -127, -53, -49, 43, 61, 83, 94, 121, 131, 135, 207, 217, 240, 268, 349, 380, 636, 660, 681, 750, 789, 802, 815, 822, 869, 884, 946]
[-609, -367, -760, 282, 374, 1, 74, -564, -884, 13, 708, -733, 911, -89, 147, 348, 404, -611, 509, 669, 343, 858, -399, -460, -511, -347, -504, 684, 478, 59, 455, 511, -405, 997, -881, -388, 225, 396, -987, 421, -641, 777, -394, 324, -929, -560, -987, -944, 101, -258]
