[-225, 640, -647, 584, 859, 325, 525, 204, 983, -538, 386, -648, 385, -594, -992, -968, -379, 968, 589, 89, -150, -241, 170, -397, 667, -622, 504, -638, 598, -149, 698, 950, -8, -474, -589, -995, -333, -907, -896, -950, 48, 858, 745, 591, 650, -554, 757, -78, -321, -734]
[-995, -992, -968, -950, -907, -896, -734, -648, -647, -638, -622, -594, -589, -554, -538, -474, -397, -379, -333, -321, -241, -225, -150, -149, -78, -8, 48, 89, 170, 204, 325, 385, 386, 504, 525, 584, 589, 591, 598, 640, 650, 667, 698, 745, 757, 858, 859, 950, 968, 983]
[987, -833, -171, 950, 238, -989, -979, -44, 489, 216, -702, -858, -250, -236, -202, 29, -752, 752, -300, 12, -626, -268, 661, 393, 42, 908, -683, 576, -113, -564, 243, -363, 412, -122, -274, -847, 96, -218, 15, -553, -553, 839, 721, -247, -121, 845, 488, -864, 187, -550]
[-989, -979, -864, -858, -847, -833, -752, -702, -683, -626, -564, -553, -553, -550, -363, -300, -274, -268, -250, -247, -236, -218, -202, -171, -122, -121, -113, -44, 12, 15, 29, 42, 96, 187, 216, 238, 243, 393, 412, 488, 489, 576, 661, 721, 752, 839, 845, 908, 950, 987]
[662, 944, -324, -785, -997, 371, -296, 76, -848, -872, 660, -991, -524, -959, -388, -512, -842, 914, 808, 773, 616, 12, 890, 368, 439, 744, 705, 923, 746, 596, -479, 362, 299, 215, 515, -982, 126, -156, 930, -3, -827, -454, -684, -416, -71, -17, 914, 949, 610, 527]
[-997, -991, -982, -959, -872, -848, -842, -827, -785, -684, -524, -512, -479, -454, -416, -388, -324, -296, -156, -71, -17, -3, 12, 76, 126, 215, 299, 362, 368, 371, 439, 515, 527, 596, 610, 616, 660, 662, 705, 744, 746, 773, 808, 890, 914, 914, 923, 930, 944, 949]
[-27, 908, 661, 957, -808, 134, -780, -617, 202, -283, 660, -673, -836, -57, -405, 236, -123, 820, -669, 404, -750, -207, -756, -174, -738, -590, 269, 220, 415, 762, 603, 457, 344, 115, 991, 65, -292, 143, 515, 873, -262, 51, -229, -98, -664, 426, 922, -23, 991, 515]
[-836, -808, -780, -756, -750, -738, -673, -669, -664, -617, -590, -405, -292, -283, -262, -229, -207, -174, -123, -98, -57, -27, -23, 51, 65, 115, 134, 143, 202, 220, 236, 269, 344, 404, 415, 426, 457, 515, 515, 603, 660, 661, 762, 820, 873, 908, 922, 957, 991, 991]
[-240, -425, 203, -214, -37, -418, 739, 526, 577, 985, 338, 399, 720, 440, 609, -601, -875, 833, -63, -823, -407, -629, 712, 662, -191, -755, 652, -848, -957, 774, 28, 639, -575, -549, -303, -864, -663, -246, -51, -980, -4, 503, -853, -194, -634, -549, -530, -320, -212, -123]
[-980, -957, -875, -864, -853, -848, -823, -755, -663, -634, -629, -601, -575, -549, -549, -530, -425, -418, -407, -320, -303, -246, -240, -214, -212, -194, -191, -123, -63, -51, -37, -4, 28, 203, 338, 399, 440, 503, 526, 577, 609, 639, 652, 662, 712, 720, 739, 774, 833, 985]
[-592, -248, -21, -122, -1000, 537, 164, -858, 943, 583, 613, -861, -611, -799, -208, -683, -860, 200, -673, 866, 242, 845, 565, 27, -203, -678, 959, 346, -330, 103, -586, -585, -873, 290, -581, -546, -488, -208, -27, -679, -72, -733, 999, 600, -701, 81, 29, 795, 128, 551]
[-1000, -873, -861, -860, -858, -799, -733, -701, -683, -679, -678, -673, -611, -592, -586, -585, -581, -546, -488, -330, -248, -208, -208, -203, -122, -72, -27, -21, 27, 29, 81, 103, 128, 164, 200, 242, 290, 346, 537, 551, 565, 583, 600, 613, 795, 845, 866, 943, 959, 999]
[-436, -547, 826, -115, -693, 484, -488, 957, -551, -838, 576, 24, -984, 1, 98, -353, -527, 255, 348, 329, -215, 101, -370, 418, -564, 31, 320, -882, 767, 338, 727, 392, -493, 833, -566, -585, 278, 491, 190, 721, 785, -361, -719, -928, -563, -797, -534, 404, -492, -379]
